drawing_category,location,age,participant_id,distance_cat_site,recognized,target_similarity
cat,Beijing,5,THU6F4,0.0478515625,False,0.268310546875
rabbit,Beijing,9,THU9M3,0.033203125,True,0.318359375
tree,Beijing,8,THU9M1,0.0546875,True,0.3212890625
watch,Beijing,6,THU6M1,0.08837890625,True,0.297119140625
car,Beijing,5,THU5M3,0.060546875,False,0.252685546875
watch,Beijing,4,THU4M10,0.03515625,True,0.301025390625
airplane,Beijing,4,THU4F09,0.0576171875,False,0.25927734375
hat,Beijing,4,THU5M4,0.08349609375,True,0.291748046875
chair,Beijing,4,THU5F04,0.0546875,False,0.276611328125
airplane,Beijing,6,THU6F19,0.0673828125,False,0.287109375
bird,Beijing,8,THU8F16,0.04638671875,True,0.2841796875
chair,Beijing,9,THU9M47,0.04931640625,True,0.365234375
car,Beijing,8,THU8F16,0.08544921875,False,0.245849609375
airplane,Beijing,8,THU9F22,0.06005859375,False,0.2568359375
bike,Beijing,7,THU7F15,0.04736328125,False,0.3193359375
tree,Beijing,8,THU8M37,0.048828125,True,0.285400390625
watch,Beijing,7,THU7F31,0.03125,True,0.297119140625
house,Beijing,8,THU8F36,0.06396484375,True,0.301025390625
hat,Beijing,8,THU8M17,0.0556640625,True,0.3564453125
cup,Beijing,8,THU8F11,0.04345703125,True,0.323974609375
rabbit,Beijing,7,THU7M18,0.03564453125,True,0.3154296875
rabbit,Beijing,6,THU6F21,0.06396484375,True,0.316650390625
chair,Beijing,4,THU4M5,0.02880859375,True,0.299560546875
cat,Beijing,5,THU5M01,0.072265625,False,0.269287109375
cat,Beijing,8,THU8F14,0.0390625,True,0.31298828125
rabbit,Beijing,6,THU6M30,0.03955078125,True,0.32080078125
watch,Beijing,4,THU5F6,0.0673828125,False,0.2578125
watch,Beijing,6,1THU6F30,0.08935546875,True,0.298828125
watch,Beijing,4,THU4M10,0.078125,True,0.2607421875
cup,Beijing,4,THU4F8,0.04443359375,False,0.290283203125
bike,Beijing,9,THU9M37,0.0791015625,True,0.316650390625
bird,Beijing,9,THU9M46,0.0615234375,False,0.2861328125
house,Beijing,8,THU8F13,0.03759765625,True,0.323974609375
cup,Beijing,8,THU8M12,0.02783203125,False,0.28662109375
bird,Beijing,7,THU8F29,0.04345703125,True,0.2802734375
car,Beijing,7,THU8F29,0.09375,False,0.271484375
house,Beijing,9,THU9M13,0.03857421875,True,0.330078125
bike,Beijing,4,THU4F8,0.08740234375,False,0.25244140625
watch,Beijing,7,THU6M4,0.0634765625,False,0.27783203125
bike,Beijing,9,THU9M39,0.05419921875,True,0.334716796875
cat,Beijing,7,THU7F31,0.05224609375,True,0.2783203125
bird,Beijing,9,THU9M47,0.06689453125,True,0.30712890625
car,Beijing,4,THU4F8,0.02001953125,True,0.3193359375
bird,Beijing,4,THU5F04,0.068359375,True,0.28271484375
rabbit,Beijing,7,THU7F15,0.08154296875,True,0.275146484375
cat,Beijing,9,THU9F35,0.07373046875,True,0.296630859375
rabbit,Beijing,9,THU9M12,0.0478515625,True,0.3173828125
rabbit,Beijing,8,THU8M17,0.0341796875,True,0.30322265625
bike,Beijing,7,THU7F42,0.0400390625,True,0.295654296875
bird,Beijing,5,THU5M9,0.07421875,False,0.253662109375
hat,Beijing,7,THU7M18,0.05078125,True,0.27880859375
airplane,Beijing,9,THU9M22,0.05078125,False,0.273193359375
chair,Beijing,8,THU9M2,0.03955078125,True,0.28564453125
bike,Beijing,8,THU8F12,0.03466796875,False,0.26953125
house,Beijing,4,THU4M10,0.0849609375,False,0.26806640625
hat,Beijing,6,THU6M30,0.05029296875,True,0.3046875
bike,Beijing,8,THU9F38,0.0380859375,False,0.26904296875
cat,Beijing,4,THU4M10,0.0556640625,False,0.2705078125
tree,Beijing,9,THU9M11,0.02392578125,False,0.26904296875
tree,Beijing,4,THU4F9,0.07568359375,False,0.2666015625
cup,Beijing,8,THU9M2,0.04736328125,False,0.28173828125
cat,Beijing,7,THU8F29,0.05712890625,False,0.264892578125
bird,Beijing,6,THU6F19,0.05224609375,False,0.283935546875
cup,Beijing,6,THU6M30,0.03076171875,False,0.302490234375
